   1.0000 + 0.0000i   1.5708 -    Infi
   1.0020 + 0.0000i   1.5708 - 5.7674i
   1.0040 + 0.0000i   1.5708 - 5.0796i
   1.0060 + 0.0000i   1.5708 - 4.6794i
   1.0080 + 0.0000i   1.5708 - 4.3969i
   1.0100 + 0.0000i   1.5708 - 4.1790i
   1.0120 + 0.0000i   1.5708 - 4.0018i
   1.0140 + 0.0000i   1.5708 - 3.8527i
   1.0160 + 0.0000i   1.5708 - 3.7243i
   1.0180 + 0.0000i   1.5708 - 3.6115i
   1.0200 + 0.0000i   1.5708 - 3.5111i
   1.0220 + 0.0000i   1.5708 - 3.4207i
   1.0240 + 0.0000i   1.5708 - 3.3385i
   1.0260 + 0.0000i   1.5708 - 3.2633i
   1.0280 + 0.0000i   1.5708 - 3.1940i
   1.0300 + 0.0000i   1.5708 - 3.1298i
   1.0320 + 0.0000i   1.5708 - 3.0700i
   1.0340 + 0.0000i   1.5708 - 3.0140i
   1.0360 + 0.0000i   1.5708 - 2.9615i
   1.0380 + 0.0000i   1.5708 - 2.9120i
   1.0400 + 0.0000i   1.5708 - 2.8653i
   1.0420 + 0.0000i   1.5708 - 2.8210i
   1.0440 + 0.0000i   1.5708 - 2.7790i
   1.0460 + 0.0000i   1.5708 - 2.7390i
   1.0480 + 0.0000i   1.5708 - 2.7009i
   1.0501 + 0.0000i   1.5708 - 2.6644i
   1.0521 + 0.0000i   1.5708 - 2.6296i
   1.0541 + 0.0000i   1.5708 - 2.5962i
   1.0561 + 0.0000i   1.5708 - 2.5641i
   1.0581 + 0.0000i   1.5708 - 2.5333i
   1.0601 + 0.0000i   1.5708 - 2.5036i
   1.0621 + 0.0000i   1.5708 - 2.4750i
   1.0641 + 0.0000i   1.5708 - 2.4474i
   1.0661 + 0.0000i   1.5708 - 2.4208i
   1.0681 + 0.0000i   1.5708 - 2.3950i
   1.0701 + 0.0000i   1.5708 - 2.3701i
   1.0721 + 0.0000i   1.5708 - 2.3460i
   1.0741 + 0.0000i   1.5708 - 2.3226i
   1.0761 + 0.0000i   1.5708 - 2.2999i
   1.0781 + 0.0000i   1.5708 - 2.2779i
   1.0801 + 0.0000i   1.5708 - 2.2565i
   1.0821 + 0.0000i   1.5708 - 2.2357i
   1.0841 + 0.0000i   1.5708 - 2.2155i
   1.0861 + 0.0000i   1.5708 - 2.1958i
   1.0881 + 0.0000i   1.5708 - 2.1767i
   1.0901 + 0.0000i   1.5708 - 2.1580i
   1.0921 + 0.0000i   1.5708 - 2.1398i
   1.0941 + 0.0000i   1.5708 - 2.1220i
   1.0961 + 0.0000i   1.5708 - 2.1047i
   1.0981 + 0.0000i   1.5708 - 2.0878i
   1.1001 + 0.0000i   1.5708 - 2.0713i
   1.1021 + 0.0000i   1.5708 - 2.0551i
   1.1041 + 0.0000i   1.5708 - 2.0393i
   1.1061 + 0.0000i   1.5708 - 2.0239i
   1.1081 + 0.0000i   1.5708 - 2.0088i
   1.1101 + 0.0000i   1.5708 - 1.9940i
   1.1121 + 0.0000i   1.5708 - 1.9795i
   1.1141 + 0.0000i   1.5708 - 1.9653i
   1.1161 + 0.0000i   1.5708 - 1.9514i
   1.1181 + 0.0000i   1.5708 - 1.9378i
   1.1201 + 0.0000i   1.5708 - 1.9244i
   1.1221 + 0.0000i   1.5708 - 1.9113i
   1.1241 + 0.0000i   1.5708 - 1.8985i
   1.1261 + 0.0000i   1.5708 - 1.8858i
   1.1281 + 0.0000i   1.5708 - 1.8735i
   1.1301 + 0.0000i   1.5708 - 1.8613i
   1.1321 + 0.0000i   1.5708 - 1.8494i
   1.1341 + 0.0000i   1.5708 - 1.8376i
   1.1361 + 0.0000i   1.5708 - 1.8261i
   1.1381 + 0.0000i   1.5708 - 1.8147i
   1.1401 + 0.0000i   1.5708 - 1.8036i
   1.1421 + 0.0000i   1.5708 - 1.7926i
   1.1441 + 0.0000i   1.5708 - 1.7819i
   1.1461 + 0.0000i   1.5708 - 1.7713i
   1.1481 + 0.0000i   1.5708 - 1.7608i
   1.1502 + 0.0000i   1.5708 - 1.7505i
   1.1522 + 0.0000i   1.5708 - 1.7404i
   1.1542 + 0.0000i   1.5708 - 1.7305i
   1.1562 + 0.0000i   1.5708 - 1.7207i
   1.1582 + 0.0000i   1.5708 - 1.7110i
   1.1602 + 0.0000i   1.5708 - 1.7015i
   1.1622 + 0.0000i   1.5708 - 1.6921i
   1.1642 + 0.0000i   1.5708 - 1.6829i
   1.1662 + 0.0000i   1.5708 - 1.6737i
   1.1682 + 0.0000i   1.5708 - 1.6648i
   1.1702 + 0.0000i   1.5708 - 1.6559i
   1.1722 + 0.0000i   1.5708 - 1.6472i
   1.1742 + 0.0000i   1.5708 - 1.6385i
   1.1762 + 0.0000i   1.5708 - 1.6300i
   1.1782 + 0.0000i   1.5708 - 1.6216i
   1.1802 + 0.0000i   1.5708 - 1.6134i
   1.1822 + 0.0000i   1.5708 - 1.6052i
   1.1842 + 0.0000i   1.5708 - 1.5971i
   1.1862 + 0.0000i   1.5708 - 1.5892i
   1.1882 + 0.0000i   1.5708 - 1.5813i
   1.1902 + 0.0000i   1.5708 - 1.5735i
   1.1922 + 0.0000i   1.5708 - 1.5658i
   1.1942 + 0.0000i   1.5708 - 1.5583i
   1.1962 + 0.0000i   1.5708 - 1.5508i
   1.1982 + 0.0000i   1.5708 - 1.5434i
   1.2002 + 0.0000i   1.5708 - 1.5361i
   1.2022 + 0.0000i   1.5708 - 1.5288i
   1.2042 + 0.0000i   1.5708 - 1.5217i
   1.2062 + 0.0000i   1.5708 - 1.5146i
   1.2082 + 0.0000i   1.5708 - 1.5077i
   1.2102 + 0.0000i   1.5708 - 1.5008i
   1.2122 + 0.0000i   1.5708 - 1.4939i
   1.2142 + 0.0000i   1.5708 - 1.4872i
   1.2162 + 0.0000i   1.5708 - 1.4805i
   1.2182 + 0.0000i   1.5708 - 1.4739i
   1.2202 + 0.0000i   1.5708 - 1.4674i
   1.2222 + 0.0000i   1.5708 - 1.4609i
   1.2242 + 0.0000i   1.5708 - 1.4545i
   1.2262 + 0.0000i   1.5708 - 1.4482i
   1.2282 + 0.0000i   1.5708 - 1.4419i
   1.2302 + 0.0000i   1.5708 - 1.4357i
   1.2322 + 0.0000i   1.5708 - 1.4296i
   1.2342 + 0.0000i   1.5708 - 1.4235i
   1.2362 + 0.0000i   1.5708 - 1.4175i
   1.2382 + 0.0000i   1.5708 - 1.4115i
   1.2402 + 0.0000i   1.5708 - 1.4056i
   1.2422 + 0.0000i   1.5708 - 1.3998i
