   1.00000 + 0.00000i  -1.57080 +     Infi
   1.00100 + 0.00000i  -1.57080 + 7.37108i
   1.00200 + 0.00000i  -1.57080 + 6.67654i
   1.00300 + 0.00000i  -1.57080 + 6.26968i
   1.00400 + 0.00000i  -1.57080 + 5.98060i
   1.00500 + 0.00000i  -1.57080 + 5.75606i
   1.00600 + 0.00000i  -1.57080 + 5.57234i
   1.00700 + 0.00000i  -1.57080 + 5.41678i
   1.00800 + 0.00000i  -1.57080 + 5.28184i
   1.00900 + 0.00000i  -1.57080 + 5.16264i
   1.01000 + 0.00000i  -1.57080 + 5.05587i
   1.01100 + 0.00000i  -1.57080 + 4.95914i
   1.01200 + 0.00000i  -1.57080 + 4.87070i
   1.01300 + 0.00000i  -1.57080 + 4.78923i
   1.01400 + 0.00000i  -1.57080 + 4.71370i
   1.01500 + 0.00000i  -1.57080 + 4.64327i
   1.01600 + 0.00000i  -1.57080 + 4.57730i
   1.01700 + 0.00000i  -1.57080 + 4.51523i
   1.01800 + 0.00000i  -1.57080 + 4.45663i
   1.01900 + 0.00000i  -1.57080 + 4.40112i
   1.02000 + 0.00000i  -1.57080 + 4.34837i
   1.02100 + 0.00000i  -1.57080 + 4.29813i
   1.02200 + 0.00000i  -1.57080 + 4.25015i
   1.02300 + 0.00000i  -1.57080 + 4.20424i
   1.02400 + 0.00000i  -1.57080 + 4.16022i
   1.02500 + 0.00000i  -1.57080 + 4.11793i
   1.02600 + 0.00000i  -1.57080 + 4.07724i
   1.02700 + 0.00000i  -1.57080 + 4.03802i
   1.02800 + 0.00000i  -1.57080 + 4.00018i
   1.02900 + 0.00000i  -1.57080 + 3.96361i
   1.03000 + 0.00000i  -1.57080 + 3.92822i
   1.03100 + 0.00000i  -1.57080 + 3.89394i
   1.03200 + 0.00000i  -1.57080 + 3.86070i
   1.03300 + 0.00000i  -1.57080 + 3.82843i
   1.03400 + 0.00000i  -1.57080 + 3.79708i
   1.03500 + 0.00000i  -1.57080 + 3.76659i
   1.03600 + 0.00000i  -1.57080 + 3.73691i
   1.03700 + 0.00000i  -1.57080 + 3.70800i
   1.03800 + 0.00000i  -1.57080 + 3.67982i
   1.03900 + 0.00000i  -1.57080 + 3.65233i
   1.04000 + 0.00000i  -1.57080 + 3.62549i
   1.04100 + 0.00000i  -1.57080 + 3.59927i
   1.04200 + 0.00000i  -1.57080 + 3.57364i
   1.04300 + 0.00000i  -1.57080 + 3.54858i
   1.04400 + 0.00000i  -1.57080 + 3.52405i
   1.04500 + 0.00000i  -1.57080 + 3.50004i
   1.04600 + 0.00000i  -1.57080 + 3.47652i
   1.04700 + 0.00000i  -1.57080 + 3.45346i
   1.04800 + 0.00000i  -1.57080 + 3.43086i
   1.04900 + 0.00000i  -1.57080 + 3.40868i
   1.05000 + 0.00000i  -1.57080 + 3.38692i
   1.05100 + 0.00000i  -1.57080 + 3.36555i
   1.05200 + 0.00000i  -1.57080 + 3.34457i
   1.05300 + 0.00000i  -1.57080 + 3.32395i
   1.05400 + 0.00000i  -1.57080 + 3.30368i
   1.05500 + 0.00000i  -1.57080 + 3.28375i
   1.05600 + 0.00000i  -1.57080 + 3.26415i
   1.05700 + 0.00000i  -1.57080 + 3.24486i
   1.05800 + 0.00000i  -1.57080 + 3.22588i
   1.05900 + 0.00000i  -1.57080 + 3.20719i
   1.06000 + 0.00000i  -1.57080 + 3.18878i
   1.06100 + 0.00000i  -1.57080 + 3.17065i
   1.06200 + 0.00000i  -1.57080 + 3.15278i
   1.06300 + 0.00000i  -1.57080 + 3.13517i
   1.06400 + 0.00000i  -1.57080 + 3.11781i
   1.06500 + 0.00000i  -1.57080 + 3.10068i
   1.06600 + 0.00000i  -1.57080 + 3.08379i
   1.06700 + 0.00000i  -1.57080 + 3.06712i
   1.06800 + 0.00000i  -1.57080 + 3.05067i
   1.06900 + 0.00000i  -1.57080 + 3.03444i
   1.07000 + 0.00000i  -1.57080 + 3.01841i
   1.07100 + 0.00000i  -1.57080 + 3.00258i
   1.07200 + 0.00000i  -1.57080 + 2.98694i
   1.07300 + 0.00000i  -1.57080 + 2.97149i
   1.07400 + 0.00000i  -1.57080 + 2.95623i
   1.07500 + 0.00000i  -1.57080 + 2.94114i
   1.07600 + 0.00000i  -1.57080 + 2.92623i
   1.07700 + 0.00000i  -1.57080 + 2.91149i
   1.07800 + 0.00000i  -1.57080 + 2.89691i
   1.07900 + 0.00000i  -1.57080 + 2.88249i
   1.08000 + 0.00000i  -1.57080 + 2.86822i
   1.08100 + 0.00000i  -1.57080 + 2.85411i
   1.08200 + 0.00000i  -1.57080 + 2.84015i
   1.08300 + 0.00000i  -1.57080 + 2.82633i
   1.08400 + 0.00000i  -1.57080 + 2.81265i
   1.08500 + 0.00000i  -1.57080 + 2.79910i
   1.08600 + 0.00000i  -1.57080 + 2.78569i
   1.08700 + 0.00000i  -1.57080 + 2.77242i
   1.08800 + 0.00000i  -1.57080 + 2.75927i
   1.08900 + 0.00000i  -1.57080 + 2.74624i
   1.09000 + 0.00000i  -1.57080 + 2.73333i
   1.09100 + 0.00000i  -1.57080 + 2.72055i
   1.09200 + 0.00000i  -1.57080 + 2.70788i
   1.09300 + 0.00000i  -1.57080 + 2.69532i
   1.09400 + 0.00000i  -1.57080 + 2.68288i
   1.09500 + 0.00000i  -1.57080 + 2.67054i
   1.09600 + 0.00000i  -1.57080 + 2.65831i
   1.09700 + 0.00000i  -1.57080 + 2.64618i
   1.09800 + 0.00000i  -1.57080 + 2.63415i
   1.09900 + 0.00000i  -1.57080 + 2.62222i
   1.10000 + 0.00000i  -1.57080 + 2.61039i
